Content_ID,Title,Content_Type,Category,Language,Pillar,Status,Approval_Evidence,Original_Source,Campaign,File,Notes
IDEA-001,Chhatrapati Sambhaji Maharaj Jayanti tribute,Static post,Observed/Used,Marathi,Festival / Heritage,USED,None,Visible public-side audit,Existing social,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Published link/date not captured; retain when collected.
IDEA-002,India Book of Records achievement announcement,Static post,Observed/Used,Marathi,Achievement & Recognition,USED,None,Visible public-side audit,Existing social,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Published link/date not captured; retain when collected.
IDEA-003,Mother’s Day greeting,Static post,Observed/Used,Marathi,Festival / Community,USED,None,Visible public-side audit,Existing social,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Published link/date not captured; retain when collected.
IDEA-004,10th board result celebration,Static post,Observed/Used,Marathi,Achievement (trust-level),USED,None,Visible public-side audit,Existing social,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Published link/date not captured; retain when collected.
IDEA-005,Skill development guidance article,Static/article,Observed/Used,Marathi,Career Guidance,USED,None,Visible public-side audit,Existing social,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Published link/date not captured; retain when collected.
IDEA-006,Staff recruitment notice 2026–27,Static post,Observed/Used,Marathi,Institution Update,USED,None,Visible public-side audit,Existing social,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Published link/date not captured; retain when collected.
IDEA-007,Admission promotion with ITI building video,Video/post,Observed/Used,Marathi,Admission Cycle,USED,None,Visible public-side audit,Existing social,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Published link/date not captured; retain when collected.
IDEA-008,Electrician panel wiring demonstration,Reel,Reels,Marathi-first / bilingual,Trade Spotlight,UNUSED,None,KUMSS source synthesis,Admission + Always-on,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Requires real footage and consent where people are identifiable.
IDEA-009,Fitter bench work demonstration,Reel,Reels,Marathi-first / bilingual,Trade Spotlight,UNUSED,None,KUMSS source synthesis,Admission + Always-on,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Requires real footage and consent where people are identifiable.
IDEA-010,Electronics Mechanic soldering/testing,Reel,Reels,Marathi-first / bilingual,Trade Spotlight,UNUSED,None,KUMSS source synthesis,Admission + Always-on,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Requires real footage and consent where people are identifiable.
IDEA-011,Welder PPE and clean joint,Reel,Reels,Marathi-first / bilingual,Trade Spotlight,UNUSED,None,KUMSS source synthesis,Admission + Always-on,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Requires real footage and consent where people are identifiable.
IDEA-012,Surveyor field measurement,Reel,Reels,Marathi-first / bilingual,Trade Spotlight,UNUSED,None,KUMSS source synthesis,Admission + Always-on,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Requires real footage and consent where people are identifiable.
IDEA-013,Draughtsman drawing to CAD,Reel,Reels,Marathi-first / bilingual,Trade Spotlight,UNUSED,None,KUMSS source synthesis,Admission + Always-on,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Requires real footage and consent where people are identifiable.
IDEA-014,Interior Design material-board exercise,Reel,Reels,Marathi-first / bilingual,Trade Spotlight,UNUSED,None,KUMSS source synthesis,Admission + Always-on,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Requires real footage and consent where people are identifiable.
IDEA-015,Electrician vs Electronics Mechanic,Reel,Reels,Marathi-first / bilingual,Trade Comparison,UNUSED,None,KUMSS source synthesis,Admission + Always-on,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Requires real footage and consent where people are identifiable.
IDEA-016,Fitter vs Welder,Reel,Reels,Marathi-first / bilingual,Trade Comparison,UNUSED,None,KUMSS source synthesis,Admission + Always-on,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Requires real footage and consent where people are identifiable.
IDEA-017,Principal-to-parent Marathi address,Reel,Reels,Marathi-first / bilingual,Parent Reassurance,UNUSED,None,KUMSS source synthesis,Admission + Always-on,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Requires real footage and consent where people are identifiable.
IDEA-018,30-hour skill demonstration explainer,Reel,Reels,Marathi-first / bilingual,Achievement,UNUSED,None,KUMSS source synthesis,Admission + Always-on,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Requires real footage and consent where people are identifiable.
IDEA-019,Sound-on workshop tour,Reel,Reels,Marathi-first / bilingual,Infrastructure,UNUSED,None,KUMSS source synthesis,Admission + Always-on,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Requires real footage and consent where people are identifiable.
IDEA-020,Day in the life — Fitter,Reel,Reels,Marathi-first / bilingual,Student Identity,UNUSED,None,KUMSS source synthesis,Admission + Always-on,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Requires real footage and consent where people are identifiable.
IDEA-021,Day in the life — Electrician,Reel,Reels,Marathi-first / bilingual,Student Identity,UNUSED,None,KUMSS source synthesis,Admission + Always-on,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Requires real footage and consent where people are identifiable.
IDEA-022,Faculty mini-interview,Reel,Reels,Marathi-first / bilingual,Faculty Credibility,UNUSED,None,KUMSS source synthesis,Admission + Always-on,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Requires real footage and consent where people are identifiable.
IDEA-023,Student week-three diary,Reel,Reels,Marathi-first / bilingual,Student Story,UNUSED,None,KUMSS source synthesis,Admission + Always-on,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Requires real footage and consent where people are identifiable.
IDEA-024,Industry visit recap,Reel,Reels,Marathi-first / bilingual,Industry Connection,UNUSED,None,KUMSS source synthesis,Admission + Always-on,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Requires real footage and consent where people are identifiable.
IDEA-025,Admission process in 30 seconds,Reel,Reels,Marathi-first / bilingual,Admission Cycle,UNUSED,None,KUMSS source synthesis,Admission + Always-on,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Requires real footage and consent where people are identifiable.
IDEA-026,Apprenticeship pathway explainer,Reel,Reels,Marathi-first / bilingual,Career Guidance,UNUSED,None,KUMSS source synthesis,Admission + Always-on,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Requires real footage and consent where people are identifiable.
IDEA-027,Campus visit invitation,Reel,Reels,Marathi-first / bilingual,Parent Reassurance,UNUSED,None,KUMSS source synthesis,Admission + Always-on,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Requires real footage and consent where people are identifiable.
IDEA-028,4.9-star Google review milestone,Static post,Static Posts,Marathi-first / bilingual,Social Proof,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Source verification and approval required.
IDEA-029,Seven-institute network map,Static post,Static Posts,Marathi-first / bilingual,Heritage & Trust,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Source verification and approval required.
IDEA-030,Trust heritage since 1951,Static post,Static Posts,Marathi-first / bilingual,Heritage & Trust,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Source verification and approval required.
IDEA-031,Principal profile — Dr. Vikas S. Nirmal,Static post,Static Posts,Marathi-first / bilingual,Faculty Credibility,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Source verification and approval required.
IDEA-032,Superintendent profile — Mahesh Chandgude,Static post,Static Posts,Marathi-first / bilingual,Faculty Credibility,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Source verification and approval required.
IDEA-033,Engineering Drawing instructor — Vishal Madane,Static post,Static Posts,Marathi-first / bilingual,Faculty Credibility,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Source verification and approval required.
IDEA-034,Fitter instructor — Rahul Jadhav,Static post,Static Posts,Marathi-first / bilingual,Faculty Credibility,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Source verification and approval required.
IDEA-035,Fitter instructor — Akshay Taware,Static post,Static Posts,Marathi-first / bilingual,Faculty Credibility,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Source verification and approval required.
IDEA-036,Electrician trade card,Static post,Static Posts,Marathi-first / bilingual,Trade Spotlight,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Source verification and approval required.
IDEA-037,Fitter trade card,Static post,Static Posts,Marathi-first / bilingual,Trade Spotlight,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Source verification and approval required.
IDEA-038,Electronics Mechanic trade card,Static post,Static Posts,Marathi-first / bilingual,Trade Spotlight,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Source verification and approval required.
IDEA-039,Interior Design trade card,Static post,Static Posts,Marathi-first / bilingual,Trade Spotlight,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Source verification and approval required.
IDEA-040,Welder trade card,Static post,Static Posts,Marathi-first / bilingual,Trade Spotlight,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Source verification and approval required.
IDEA-041,Surveyor trade card,Static post,Static Posts,Marathi-first / bilingual,Trade Spotlight,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Source verification and approval required.
IDEA-042,Draughtsman Mechanical trade card,Static post,Static Posts,Marathi-first / bilingual,Trade Spotlight,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Source verification and approval required.
IDEA-043,Admissions open 2026–27,Static post,Static Posts,Marathi-first / bilingual,Admission Cycle,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Source verification and approval required.
IDEA-044,Workshop facility highlight,Static post,Static Posts,Marathi-first / bilingual,Infrastructure,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Source verification and approval required.
IDEA-045,Affiliation certificate highlight,Static post,Static Posts,Marathi-first / bilingual,Government Affiliations,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Source verification and approval required.
IDEA-046,Why ITI is a serious career path,Carousel,Carousels,Marathi-first / bilingual,Career Guidance,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-047,ITI versus immediate work,Carousel,Carousels,Marathi-first / bilingual,Parent Reassurance,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-048,How to choose the right trade,Carousel,Carousels,Marathi-first / bilingual,Trade Comparison,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-049,Admission process step by step,Carousel,Carousels,Marathi-first / bilingual,Admission Cycle,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-050,Admission document checklist,Carousel,Carousels,Marathi-first / bilingual,Admission Cycle,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-051,Fee structure and inclusions,Carousel,Carousels,Marathi-first / bilingual,Parent Reassurance,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-052,What comes after ITI,Carousel,Carousels,Marathi-first / bilingual,Career Guidance,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-053,"DGT, NCVT and DVET explained",Carousel,Carousels,Marathi-first / bilingual,Government Affiliations,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-054,Apprenticeship basics,Carousel,Carousels,Marathi-first / bilingual,Career Guidance,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-055,Parent FAQ,Carousel,Carousels,Marathi-first / bilingual,Parent Reassurance,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-056,ITI myths versus facts,Carousel,Carousels,Marathi-first / bilingual,Awareness,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-057,Workshop safety and PPE,Carousel,Carousels,Marathi-first / bilingual,Skill Demonstration,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-058,KUMSS heritage timeline,Carousel,Carousels,Marathi-first / bilingual,Heritage & Trust,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-059,Which trade interests you? poll,Story,Stories,Marathi,Trade Spotlight,UNUSED,None,KUMSS source synthesis,Always-on,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-060,Ask the Principal Q&A,Story,Stories,Marathi,Parent Reassurance,UNUSED,None,KUMSS source synthesis,Always-on,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-061,Workshop behind-the-scenes,Story,Stories,Marathi,Infrastructure,UNUSED,None,KUMSS source synthesis,Always-on,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-062,Faculty question of the day,Story,Stories,Marathi,Faculty Credibility,UNUSED,None,KUMSS source synthesis,Always-on,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-063,Campus visit reminder,Story,Stories,Marathi,Admission Cycle,UNUSED,None,KUMSS source synthesis,Always-on,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-064,Admission document quiz,Story,Stories,Marathi,Admission Cycle,UNUSED,None,KUMSS source synthesis,Always-on,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-065,Review quote card,Story,Stories,Marathi,Social Proof,UNUSED,None,KUMSS source synthesis,Always-on,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-066,Event day live updates,Story,Stories,Marathi,Achievement,UNUSED,None,KUMSS source synthesis,Always-on,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-067,Identify the tool quiz,Story,Stories,Marathi,Skill Demonstration,UNUSED,None,KUMSS source synthesis,Always-on,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-068,Recruitment/institute update,Story,Stories,Marathi,Institution Update,UNUSED,None,KUMSS source synthesis,Always-on,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-069,India Book achievement update,GMB post,GMB,Marathi-first / bilingual,Achievement,UNUSED,None,KUMSS source synthesis,Always-on GMB,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,"4:3, moderate branding, no urgency/guarantees."
IDEA-070,Workshop facility update,GMB post,GMB,Marathi-first / bilingual,Infrastructure,UNUSED,None,KUMSS source synthesis,Always-on GMB,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,"4:3, moderate branding, no urgency/guarantees."
IDEA-071,Faculty profile update,GMB post,GMB,Marathi-first / bilingual,Faculty Credibility,UNUSED,None,KUMSS source synthesis,Always-on GMB,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,"4:3, moderate branding, no urgency/guarantees."
IDEA-072,Industry visit update,GMB post,GMB,Marathi-first / bilingual,Industry Connection,UNUSED,None,KUMSS source synthesis,Always-on GMB,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,"4:3, moderate branding, no urgency/guarantees."
IDEA-073,Admissions update,GMB post,GMB,Marathi-first / bilingual,Admission Cycle,UNUSED,None,KUMSS source synthesis,Always-on GMB,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,"4:3, moderate branding, no urgency/guarantees."
IDEA-074,Trade service — Electrician,GMB post,GMB,Marathi-first / bilingual,Trade Spotlight,UNUSED,None,KUMSS source synthesis,Always-on GMB,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,"4:3, moderate branding, no urgency/guarantees."
IDEA-075,Trade service — Fitter,GMB post,GMB,Marathi-first / bilingual,Trade Spotlight,UNUSED,None,KUMSS source synthesis,Always-on GMB,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,"4:3, moderate branding, no urgency/guarantees."
IDEA-076,Campus location and directions,GMB post,GMB,Marathi-first / bilingual,Local Information,UNUSED,None,KUMSS source synthesis,Always-on GMB,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,"4:3, moderate branding, no urgency/guarantees."
IDEA-077,Admission document checklist,GMB post,GMB,Marathi-first / bilingual,Admission Cycle,UNUSED,None,KUMSS source synthesis,Always-on GMB,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,"4:3, moderate branding, no urgency/guarantees."
IDEA-078,Principal message,GMB post,GMB,Marathi-first / bilingual,Parent Reassurance,UNUSED,None,KUMSS source synthesis,Always-on GMB,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,"4:3, moderate branding, no urgency/guarantees."
IDEA-079,FAQ: What is NCVT?,GMB post,GMB,Marathi-first / bilingual,Education,UNUSED,None,KUMSS source synthesis,Always-on GMB,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,"4:3, moderate branding, no urgency/guarantees."
IDEA-080,Review response cadence,GMB post,GMB,Marathi-first / bilingual,Reputation,UNUSED,None,KUMSS source synthesis,Always-on GMB,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,"4:3, moderate branding, no urgency/guarantees."
IDEA-081,Private ITI in Baramati — parent guide,Blog / landing page,Blogs,Marathi + English,SEO / Admission,UNUSED,None,KUMSS source synthesis,SEO Foundation,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-082,Electrician course in Baramati,Blog / landing page,Blogs,Marathi + English,SEO / Trade,UNUSED,None,KUMSS source synthesis,SEO Foundation,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-083,Fitter course in Baramati,Blog / landing page,Blogs,Marathi + English,SEO / Trade,UNUSED,None,KUMSS source synthesis,SEO Foundation,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-084,Electronics Mechanic course guide,Blog / landing page,Blogs,Marathi + English,SEO / Trade,UNUSED,None,KUMSS source synthesis,SEO Foundation,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-085,Welder course guide,Blog / landing page,Blogs,Marathi + English,SEO / Trade,UNUSED,None,KUMSS source synthesis,SEO Foundation,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-086,Surveyor course guide,Blog / landing page,Blogs,Marathi + English,SEO / Trade,UNUSED,None,KUMSS source synthesis,SEO Foundation,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-087,Draughtsman Mechanical and CAD,Blog / landing page,Blogs,Marathi + English,SEO / Trade,UNUSED,None,KUMSS source synthesis,SEO Foundation,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-088,Interior Design vocational pathway,Blog / landing page,Blogs,Marathi + English,SEO / Trade,UNUSED,None,KUMSS source synthesis,SEO Foundation,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
