Relative path,File name,Extension,Bytes,Modified UTC,SHA256
00_SOURCES/Campaign_Briefs/CAMPAIGN_INDEX_REFERENCE.csv,CAMPAIGN_INDEX_REFERENCE.csv,.csv,5827,2026-07-17 04:23:36,c417bf4841ed30c12e084320fa7227063ef6951e426857e97ef1f5a358f90566
00_SOURCES/Campaign_Briefs/README.md,README.md,.md,258,2026-07-17 04:28:01,e936a1de3b7d1b546977b61d5c8087a459ae7f07843bf64cf27eef195096f378
00_SOURCES/Content_References/RETRIEVED_PRIOR_CONTEXT_EVIDENCE_NOTE.md,RETRIEVED_PRIOR_CONTEXT_EVIDENCE_NOTE.md,.md,982,2026-07-17 04:09:27,6fcca2e8433dd5371c092385fcdcddfd0f67ccd8f0bcd9268b7aeaa2eed28d04
00_SOURCES/Design_References/ACTIVE_AND_LEGACY_DESIGN_SOURCE_MAP.md,ACTIVE_AND_LEGACY_DESIGN_SOURCE_MAP.md,.md,863,2026-07-17 04:09:27,ebd39a4bb7d75ad273f7a06139812fdfc3297188821f166e90d4c9e14c7738be
00_SOURCES/GMB_References/GMB_FOUNDATION_STATUS.md,GMB_FOUNDATION_STATUS.md,.md,430,2026-07-17 04:09:27,449255407116a6be2210e7a0e8b546d369031bbea9bb3bab485ca8614cdc1c3c
00_SOURCES/OPEN_QUESTIONS_AND_CONFLICTS.md,OPEN_QUESTIONS_AND_CONFLICTS.md,.md,10084,2026-07-17 04:10:22,417bbae67a2f17cbccb026a57f2e7cd04b88ad43376854f2eb77d5251a9b1708
00_SOURCES/Original_Uploads/Millennium Techno School logo (3).png,Millennium Techno School logo (3).png,.png,248895,2026-07-17 04:06:08,0d10beaa292c88d7bdf98a3cbf76399f706455ada1a96fb624b1f35916b336b2
00_SOURCES/Original_Uploads/Millennium_Woods_01_Strategic_Research.md,Millennium_Woods_01_Strategic_Research.md,.md,23517,2026-07-17 04:06:08,705d00c4f60ee05f46f81ab189dbdfb4c119b229f8639bf9901d2b2d53e6d18b
00_SOURCES/Original_Uploads/Millennium_Woods_02_AI_Prompting_Guide.md,Millennium_Woods_02_AI_Prompting_Guide.md,.md,9752,2026-07-17 04:06:08,4a0e575a5298b247078ad09645b6ddcffd9cc2be81e0d37be2dc9a3dec620539
00_SOURCES/Original_Uploads/Millennium_Woods_02_Design_Instructions.md,Millennium_Woods_02_Design_Instructions.md,.md,12216,2026-07-17 04:06:08,27e9973259382f822aeadfb4d2c417b2f1a9d9f5c93c32648b74d8a476aedafe
